incorrect,correct,errors
Kasama rin sa ASAP Natin To Las Vegas ang love team nina Donny Pangilinan at Belle Mariano na balitang ang ibang mga fan nila na galing sa Canada ay pupunta na roon para mapanood sila.,Kasama rin sa ASAP Natin To Las Vegas ang love team nina Donny Pangilinan at Belle Mariano na balitang ang ibang mga fan nila na galing sa Canada ay pupunta roon para mapanood sila.,operations: insert; errors: 
Mas magandang ini-encourage ang mga fans na mas hangaan ang mga local natin lalo na ngayon na parang naghihingalo na ang showbiz industry.,Mas magandang ini-encourage ang mga fans na mas hangaan ang mga local artist natin lalo na ngayon na parang naghihingalo na ang showbiz industry.,operations: delete; errors: 
"Kilala namang misis ngayon ni Sen. Francis"" Chiz"" Escudero ang aktres, bagay na dati ng natsismis sa diumanoy paghihiwalay. Kamakailan lang nang kumpirmahin nilang sila pa rin hanggang ngayon.","Kilala namang misis ngayon ni Sen. Francis"" Chiz"" Escudero ang aktres, bagay na dati nang natsismis sa diumanoy paghihiwalay. Kamakailan lang nang kumpirmahin nilang sila pa rin hanggang ngayon.",operations: substitute; errors: ng_nang
"Sa panayam ng News GMA kay Consul Mary Jennifer Dingal, acting Head of Post ng Philippine Consulate General sa Jeddah, nagsimula ang sunog dakong alas-syete ng umaga.","Sa panayam ng GMA News kay Consul Mary Jennifer Dingal, acting Head of Post ng Philippine Consulate General sa Jeddah, nagsimula ang sunog dakong alas-syete ng umaga.",operations: swap; errors: 
"Sa hiwalay naman na interview sa Balitanghali, sinabi ni Olalia na inatasan na ng POEA ang agency ng mga seafarer na asikasuhin ang kanilang mga pangangailangan, ang kabilang kanilang mga pagkain at medikal.","Sa hiwalay naman na interview sa Balitanghali, sinabi ni Olalia na inatasan na ng POEA ang agency ng mga seafarer na asikasuhin ang kanilang mga pangangailangan, kabilang ang kanilang mga pagkain at medikal.",operations: swap; errors: 
"I believe na mas magiging fierce si Rita after niyang magluwal ng kaniyang baby, mas magiging focused siya sa trabaho niya, ' yong drive niya sa pagiging aktres mas nandoon because meron nang rason kung bakit at ' yong anak niya, komento ni Ken. - - FRJ.","I believe na mas magiging fierce si Rita after niyang magluwal ng kaniyang baby, mas magiging focused siya sa trabaho niya, ' yong drive niya sa pagiging aktres mas nandoon because meron nang rason kung bakit at yon ' yong anak niya, komento ni Ken. - - FRJ.",operations: delete; errors: 
"Sa pagtatapos ng season ng programa, nagpaabot naman ng pasasalamat si Chemist Pinky sa lahat ng ng tumulong, nakiisa, nakisaya at nakisalo sa show hindi lang sa tablescaping na itinuturo niya, kundi pati ang mga nakaka-inspire na kwento ng pagbangon, pagmamahalan at tagumpay ng inyong mga paboritong artista na naitampok din dito.","Sa pagtatapos ng season ng programa, nagpaabot naman ng pasasalamat si Chemist Pinky sa lahat ng tumulong, nakiisa, nakisaya at nakisalo sa show hindi lang sa tablescaping na itinuturo niya, kundi pati ang mga nakaka-inspire na kwento ng pagbangon, pagmamahalan at tagumpay ng inyong mga paboritong artista na naitampok din dito.",operations: insert; errors: 
"At may isa pa siyang naalala: Pero nakakaloka talaga pero ang cute eh may isa pa dun nagpapa-swab ako, dun sa counter may isang ale yung nagaano sakin binigay ko â € ˜ yung ID ko tapos pagtingin niya sa ID â € œitâ € ™ s? â € ","At may isa pa siyang naalala: Pero nakakaloka talaga pero ang cute eh may isa pa dun nagpapa-swab ako, dun sa counter may isang ale yung nag-aano sakin binigay ko â € ˜ yung ID ko tapos pagtingin niya sa ID â € œitâ € ™ s you? â € ","operations: substitute, delete; errors: hyphenation"
Higit pang pinalawak ng Quezon City government ang scholarship program para sa mas maraming mag-aaral ng lungsod ang mabenepisyuhan na naturang programa.,Higit pang pinalawak ng Quezon City government ang scholarship program para sa mas maraming mag-aaral ng lungsod ang mabenepisyuhan ng naturang programa.,operations: substitute; errors: ligature
"Pero ang sumunod na tagpo, nakita na lang ang ginang na umaakyat ng sa tore na may taas na 120 talampakan.","Pero ang sumunod na tagpo, nakita na lang ang ginang na umaakyat sa tore na may taas na 120 talampakan.","operations: insert, substitute; errors: ligature"
"Madaming nawalan nang trabaho, maraming naghahanap ng trabaho, â €  bungad ni Paulo.","Madaming nawalan ng trabaho, maraming naghahanap ng trabaho, â €  bungad ni Paulo.",operations: substitute; errors: ng_nang
"Ang mahalaga ay magpatuloy tayo sa mabuti tamang ginagawa, makatanggap man tayo ng papuri o batikos.","Ang mahalaga ay magpatuloy tayo sa mabuti at tamang ginagawa, makatanggap man tayo ng papuri o batikos.",operations: delete; errors: 
"Sa kanyang vlog ay pinakita niya ang kanyang secret hideout na hindi na raw secret after ng condo tour. â € œSobrang liit lang ng lugar na to kasi most of the time, ako lang talaga mag-isa rito. Dito ako nagmumuni-muni. Now ko lang talaga to pina-renovate nang hardcore kasi parang napapadalas yung pagtambay ko rito. So gusto ko namang maganda, maayos, malinis, â €  chika niya tungkol dito na home away from home niya nga.","Sa kanyang vlog ay pinakita niya ang kanyang secret hideout na hindi na raw secret after ng nasabing condo tour. â € œSobrang liit lang ng lugar na to kasi most of the time, ako lang talaga mag-isa rito. Dito ako nagmumuni-muni. Now ko lang talaga to pina-renovate nang hardcore kasi parang napapadalas yung pagtambay ko rito. So gusto ko namang maganda, maayos, malinis, â €  chika niya tungkol dito na home away from home niya nga.","operations: substitute, delete; errors: enclitic"
Kasama rin mga sinusuri ang mga tissue samples at biological samples na ay nakita sa hotel.,Kasama rin sa mga sinusuri ang mga tissue samples at biological samples na nakita sa hotel.,"operations: delete, insert; errors: "
Lahat na mga kasalukuyang Representatives ng Bulacan ay magpapatuloy sa kanilang panunungkulan hanggang magtapos ang kanilang termino.,Lahat ng mga kasalukuyang Representatives ng Bulacan ay magpapatuloy sa kanilang panunungkulan hanggang magtapos ang kanilang termino.,operations: substitute; errors: ligature
Pero challenge for me every time na gumagawa tayo ng project is kung paano rin mapapahiwalay yung ang totoong ako sa character na pinoportray ko.,Pero challenge for me every time na gumagawa tayo ng project is kung paano rin mapapahiwalay yung totoong ako sa character na pinoportray ko.,operations: insert; errors: 
"Kung pa magtatagumpay ang naturang reklamo, mangangahulugang hindi opisyal na naihain ang certificate of candidacy ( COC ) na kontrobersyal na anchor sa simulay simula pa lang.","Kung magtatagumpay ang naturang reklamo, mangangahulugang hindi opisyal na naihain ang certificate of candidacy ( COC ) ng kontrobersyal na anchor sa simulay simula pa lang.","operations: substitute, insert; errors: ligature"
Tila ginising din ng aso ang 10-taong-gulang na anak ng may-ari na bahay na natutulog sa sofa sa.,Tila ginising din ng aso ang 10-taong-gulang na anak ng may-ari ng bahay na natutulog sa sofa sa sala.,"operations: substitute, delete; errors: ligature"
Hindi talaga pantay-pantay ang pagpapatupad na batas.,Hindi talaga pantay-pantay ang pagpapatupad ng batas.,operations: substitute; errors: ligature
"Ayon kay Major Gen. Juvymax Uy, ng commander Armys 6th Infantry Division, na pinaligiran ng mga tauhan ng 6th Battalion ang hideout ni Karinda sa Barangay Dabenayen nang paputukan ng mga ito ang tropa ng pamahalaan.","Ayon kay Major Gen. Juvymax Uy, commander ng Armys 6th Infantry Division, na pinaligiran ng mga tauhan ng 6th Infantry Battalion ang hideout ni Karinda sa Barangay Dabenayen nang paputukan ng mga ito ang tropa ng pamahalaan.","operations: delete, swap; errors: "
at Bilyon higit P34. 4.,Bilyon at higit P34. 4.,operations: swap; errors: 
"Kung meron man tayong bahagi roon sa dahilan niya para umalis. Sana nalaman man lang natin di ba? At kung meron man, kumbaga, kung tayo, isa sa atin ang nang dahilan kaya siya umalis, sana alam natin. Para napag-usapan. Kung meron man, bakit hindi napag-usapan for 11 years? Tapos pak! Biglang wala na.","Kung meron man tayong bahagi roon sa dahilan niya para umalis. Sana nalaman man lang natin di ba? At kung meron man, kumbaga, kung tayo, isa sa atin ang dahilan kaya siya umalis, sana alam natin. Para napag-usapan. Kung meron man, bakit hindi napag-usapan for 11 years? Tapos pak! Biglang wala na.","operations: substitute, insert; errors: enclitic"
"Ilang bakuna ng gaya ng gawa Pfizer ang itinuturong may side-effects, gaya na lang ng pagkamatay diumano ng ilang matatanda sa bansang Norway matapos maineksyunan.","Ilang bakuna na gaya ng gawa ng Pfizer ang itinuturong may side-effects, gaya na lang ng pagkamatay diumano ng ilang matatanda sa bansang Norway matapos maineksyunan.","operations: substitute, delete; errors: ligature"
Minsan kailangan mo rin na humiwalay sa mga bagay na nao-overwhelm ka para maging mas healthy nang ka as a person.,Minsan kailangan mo rin na humiwalay sa mga bagay na nao-overwhelm ka para maging mas healthy ka as a person.,"operations: insert, substitute; errors: enclitic"
Aminado si Ivana na nakakausap niya sa Instagram ang aktof pero pa raw nila alam ang number ng isat isa dahil wala pa naman daw sa sila ganung level.,Aminado si Ivana na nakakausap niya sa Instagram ang aktof pero hindi pa raw nila alam ang number ng isat isa dahil wala pa naman daw sila sa ganung level.,"operations: delete, swap; errors: "
Idinagdag pa ng 2018 ng Asian Games at 2019 SEA Games gold medalist na ngayon pa lang ay iniisip na niya ang kanyang kinabukasan sakaling dumating ang oras na kailangan ng niyang magretiro.,Idinagdag pa ng 2018 Asian Games at 2019 SEA Games gold medalist na ngayon pa lang ay iniisip na niya ang kanyang kinabukasan sakaling dumating ang oras na kailangan na niyang magretiro.,"operations: substitute, insert; errors: ligature"
"In fairness, maraming nagulat at napa-wow sa itsura ni Herlene ng naunang nakilala sa mundo ng pa showbiz bilang si Hipon Girl, nang ibandera niya sa social media ang kanyang audition look sa taunang Bb. Pilipinas beauty pageant.","In fairness, maraming nagulat at napa-wow sa itsura ni Herlene na naunang nakilala sa mundo ng showbiz bilang si Hipon Girl, nang ibandera niya sa social media ang kanyang audition look sa taunang Bb. Pilipinas beauty pageant.","operations: insert, substitute; errors: ligature"
"Anang SMC, sisimulan nila pangongolekta sana ng toll fee na mula hanggang P110 P274 sa Skyway Stage 3 simula kahapon, Pebrero 1.","Anang SMC, sisimulan nila ang pangongolekta sana ng toll fee na mula P110 hanggang P274 sa Skyway Stage 3 simula kahapon, Pebrero 1.","operations: swap, delete; errors: "
Tv Police Reporter ako ang noon sa RPN9 nang mabigyan ako ng pagkakataon na maging DJ sa 91. 5.,Tv Police Reporter ako noon sa RPN9 nang mabigyan ako ng pagkakataon na maging DJ sa 91. 5.,operations: insert; errors: 
"Narito ang mga katagang binitiwan ni Zubiri sa Marcos rally na naging dahilan kung bakit siya natanggal sa line-up nina Lacson:"" Karun lang ko nakakita nga in-ani ka daghan nga who are here to support one person Daghan tawo gapalangga sa atong presidente. Wala, uli ng ta, daug na,"" wikanoon ni Zubiri sa Bukidnon.","Narito ang mga katagang binitiwan ni Zubiri sa Marcos rally na naging dahilan kung bakit siya natanggal sa line-up nina Lacson:"" Karun lang ko nakakita nga in-ani ka daghan nga tawo who are here to support one person Daghan tawo gapalangga sa atong presidente. Wala, uli na ta, daug na,"" wikanoon ni Zubiri sa Bukidnon.","operations: delete, substitute; errors: ligature"
"Dalawang photo ang inupload ng dalaga na may caption na, Mga batang musmos ni Pinty Bonoy.","Dalawang photo ang inupload ng dalaga na may caption na, Mga batang musmos ni Pinty at Bonoy.",operations: delete; errors: 
Dito raw siya napatanong at napa-compute para sa ang future.,Dito raw siya napatanong at napa-compute para sa future.,operations: insert; errors: 
Dahil dito kaya mismong mga riders ng umano ang nananawagan sa kapwa-riders huwag iboto ang senador.,Dahil dito kaya mismong mga riders na umano ang nananawagan sa kapwa-riders na huwag iboto ang senador.,"operations: substitute, delete; errors: ligature"
"Sa ulat ni Bam Alegre sa GMA News"" Unang Balita"" nitong Huwebes, sinabing unang nadakip ng pulisya ang suspek na si Arnold. Vargas","Sa ulat ni Bam Alegre sa GMA News"" Unang Balita"" nitong Huwebes, sinabing unang nadakip ng pulisya ang suspek na si Arnold Vargas.",operations: swap; errors: 
Kasalukuyan na nang nakakulong ang suspek at nakatakdang humarap sa korte sa March 25.,Kasalukuyan nang nakakulong ang suspek at nakatakdang humarap sa korte sa March 25.,"operations: insert, substitute; errors: ligature"
Pinag-isipan ko nga ng maraming-maraming beses kung ko ang show na ang ito.,Pinag-isipan ko nga ng maraming-maraming beses kung tatanggapin ko ang show na ito.,"operations: insert, delete; errors: "
Idinaos sa nasabing venue ang BMX competitions na 30th Southeast Asian Games noong 2019.,Idinaos sa nasabing venue ang BMX competitions ng 30th Southeast Asian Games noong 2019.,operations: substitute; errors: ligature
"Noong 2018, naitala ng MMDA Metro Manila Accident Reporting and Analysis System MMARAS ( ) ang mga motorcycle riders ang kabilang sa may pinakamataas na nasawi sa aksidente sa kalsada na humigit-kumulang 38 % o 224 na nasawi mula sa kabuuang 590.","Noong 2018, naitala ng MMDA Metro Manila Accident Reporting and Analysis System ( MMARAS ) ang mga motorcycle riders ang kabilang sa may pinakamataas na nasawi sa aksidente sa kalsada na humigit-kumulang 38 % o 224 na nasawi mula sa kabuuang 590.",operations: swap; errors: 
Ilang araw na ang nakakaraan nang may isang source ang nagbulong at lumabas sa Pang Masa na balik-pulitika nga ang dating senador at naging Vice President rin ng Pilipinas.,Ilang araw na ang nakakaraan nang may isang source ang nagbulong at lumabas sa Pang Masa na balik-pulitika nga ang dating senador at naging Vice President din ng Pilipinas.,operations: substitute; errors: enclitic
Mayroon na rin aniyang advisory ang pamahalaan ng Saudi sa kanilang mga empoyer na hindi kabilang ang mga OFW sa mga magbayad obligadong sa ipinatutupad nilang COVID-19 protocols pagdating sa Saudi.,Mayroon na rin aniyang advisory ang pamahalaan ng Saudi sa kanilang mga empoyer na hindi kabilang ang mga OFW sa mga obligadong magbayad sa ipinatutupad nilang COVID-19 protocols pagdating sa Saudi.,operations: swap; errors: 
"Sa ulat ng MPD-Homicide Section, dakong ala-1: ang 12 kamakalawa ng hapon nang maganap ang krimen sa parking lot na isang restoran sa Tejeron St.","Sa ulat ng MPD-Homicide Section, dakong ala-1: 12 kamakalawa ng hapon nang maganap ang krimen sa parking lot ng isang restoran sa Tejeron St.","operations: substitute, insert; errors: ligature"
lola Ang raw ng biktima ang nagsabi sa mga pulis na isinugod na ito sa pagamutan.,Ang lola raw ng biktima ang nagsabi sa mga pulis na isinugod na ito sa pagamutan.,operations: swap; errors: 
"Nang makarating sa mga bossing ang mga ginawang pambabastos sa direktor ng TV host agad-agad,, naglabas ng memo ang production.","Nang makarating sa mga bossing ang mga ginawang pambabastos sa direktor ng TV host, agad-agad, naglabas ng memo ang production.",operations: swap; errors: 
Nabatid na si kinuha ng mga suspek ang hawak na cellphone ng bata na pag-aari ng kanyang ina hanggang sa maisipan nilang pati ang bata ay tangayin saka hihingi ng ransom sa ina nito.,Nabatid na kinuha ng mga suspek ang hawak na cellphone ng bata na pag-aari ng kanyang ina hanggang sa maisipan nilang pati ang bata ay tangayin saka hihingi ng ransom sa ina nito.,operations: insert; errors: 
Sinabi ni Xian ang pasabog niya sa boyfriend ng aktres at si Diego nga iyon na bumibista raw Pampanga habang naghihintay ang karelasyon nito sa Manila.,Sinabi ni Xian ang pasabog niya sa boyfriend ng aktres at si Diego nga iyon na bumibista raw sa Pampanga habang naghihintay ang karelasyon nito sa Manila.,operations: delete; errors: 
"Inanilisa rin ngayong taon ang nasa 121 milyong citations sa mahigit 15. 5 milyong research publications, ang survey responses mula sa 40, 000 iskolar sa buong mundo.","Inanilisa rin ngayong taon ang nasa 121 milyong citations sa mahigit 15. 5 milyong research publications, kasama ang survey responses mula sa 40, 000 iskolar sa buong mundo.",operations: delete; errors: 
Nang puntahan ang lugar ay nakita ang nakahandusay na biktima na may hawak na isang live electric wire na gamit nito sa panguryente na isda.,Nang puntahan ang lugar ay nakita ang nakahandusay na biktima na may hawak na isang live electric wire na gamit nito sa panguryente ng isda.,operations: substitute; errors: ligature
"Namimiss ko kayo sobra, patuloy pa niya.","Nami-miss ko kayo sobra, patuloy pa niya.",operations: substitute; errors: hyphenation
"Hawak naman ng pulisya ang driver na Mitsubishi Mirage na nakilalang si Jobert Narbato, 36-anyos, may-asawa, taxi residente ngB56 L29 Alta Tierra Homes, Brgy.","Hawak naman ng pulisya ang driver ng Mitsubishi Mirage na nakilalang si Jobert Narbato, 36-anyos, may-asawa, taxi driverat residente ngB56 L29 Alta Tierra Homes, Brgy.","operations: delete, substitute; errors: ligature"
Ayon Sophie kay pinaghihinay-hinay muna siya ng doktor sa pagkain nang labis at mga matatamis bukod sa paglalakad.,Ayon kay Sophie pinaghihinay-hinay muna siya ng doktor sa pagkain nang labis at mga matatamis bukod sa paglalakad.,operations: swap; errors: 
Hindi raw nakararamdam ng pagod ang dalaga kahit kabi-kabila na pa ang kanyang mga ginagawa.,Hindi raw nakararamdam ng pagod ang dalaga kahit na kabi-kabila ang kanyang mga ginagawa.,"operations: swap, insert; errors: "
Kinilala mga ang dinakip ng sina Brgy.,Kinilala ang mga dinakip na sina Brgy.,"operations: substitute, swap; errors: ligature"
"I can see myself, pero, hindi lang naman na kasi yun yung desisyon ng ako yung gagawa.","I can see myself, pero, hindi lang naman kasi yun yung desisyon na ako yung gagawa.","operations: substitute, insert; errors: ligature"
"Nang ipakita nila ang picture, nasabi nga namin, walang super natural diyan, dahil sigurado kami na ang nasa picture ay si Ate Vi, pero panahon iyon na nagbabalik pa lamang siya bilang teenage star. Ngayon ang tanong na lang ay kung bakit iyon nakasama sa isang album na sinasabi nilang noong 1920 pa.","Nang ipakita nila ang picture, nasabi nga namin, walang super natural diyan, dahil sigurado kami na ang nasa picture ay si Ate Vi, pero panahon iyon na nagbabalik pa lamang siya bilang teenage star. Ngayon ang tanong na lang ay kung bakit nakasama iyon sa isang album na sinasabi nilang noong 1920 pa.",operations: swap; errors: 
"Ilan sa mga sintomas ng cancer sa prostate gland ang problema o hirap sa pag-ihi, o iba ng ang pwersa ng paglabas ng ihi.","Ilan sa mga sintomas ng cancer sa prostate gland ang problema o hirap sa pag-ihi, o iba na ang pwersa ng paglabas ng ihi.",operations: substitute; errors: ligature
Isang asset nila ang sumama sa dalawang suspek na nakilalang Castro sina at Yalung na nagtungo sa isang money exchange at nagtangkang papalitan ng peso ang kanilang dalang mga dolyares.,Isang asset nila ang sumama sa dalawang suspek na nakilalang sina Castro at Yalung na nagtungo sa isang money exchange at nagtangkang papalitan ng peso ang kanilang dalang mga dolyares.,operations: swap; errors: 
"Ayon sa ulat, may impormasyon ang Malolos Police ang sa paggamit at pagbenta ng ilegal na droga Brgy.","Ayon sa ulat, may impormasyon ang Malolos Police sa paggamit at pagbenta ng ilegal na droga sina Brgy.","operations: insert, delete; errors: "
"Una nang sinabi ni Marcos na gagamitin nila ang pa batas upang matugunan ang mga krimeng ikinakasa dahil paggamit sa ng SIM cards. Sa kabila nito, ilang progresibong grupo at data privacy advocates ang kumekwestyon dito dahil sa isyu ng seguridad at posibleng paniniktik.","Una nang sinabi ni Marcos na gagamitin nila ang batas upang matugunan ang mga krimeng ikinakasa dahil sa paggamit ng SIM cards. Sa kabila nito, ilang progresibong grupo at data privacy advocates ang kumekwestyon dito dahil sa isyu ng seguridad at posibleng paniniktik.","operations: insert, swap; errors: "
"Sa kanyang tatlong na araw pagbisita sa estado sa China, nakakuha rin si Marcos ng USD2. 09.","Sa kanyang tatlong araw na pagbisita sa estado sa China, nakakuha rin si Marcos ng USD2. 09.",operations: swap; errors: 
"Giit ni Duterte, hindi pambabae ang ng posisyon ng pangulo dahil sa bigat ng responsibilidad na pamunuan ang bansa.","Giit ni Duterte, hindi pambabae ang posisyon ng pangulo dahil sa bigat ng responsibilidad na pamunuan ang bansa.",operations: insert; errors: 
ang Ginamit ilang kubyertos na sa ginawa nilang tablescaping.,Ginamit ang ilang kubyertos na ito sa ginawa nilang tablescaping.,"operations: swap, delete; errors: "
"Manalangin TAYO:, turuan Niyo po kami ng matutunan namin ang magsakrpiyo at iwanan ang mga bagay na mayroon kami alang-alang sa aming pag-ibig Sayo.","Manalangin TAYO: Panginoon, turuan Niyo po kami na matutunan namin ang magsakrpiyo at iwanan ang mga bagay na mayroon kami alang-alang sa aming pag-ibig Sayo.","operations: substitute, delete; errors: ligature"
"Inamin naman ni Raffy na binanggit niya ang 16 million voters at 42 million, ngunit nilinaw ng ang mga ito ay niya hindi subscribers, kundi ng ABS-CBN Entertainment na posibleng mag-clash sa 16 million voters ni President Duterte kung ang isyu ng ABS-CBN franchise ay buhayin sa susunod na taon.","Inamin naman ni Raffy na binanggit niya ang 16 million voters at 42 million, ngunit nilinaw na ang mga ito ay hindi niya subscribers, kundi ng ABS-CBN Entertainment na posibleng mag-clash sa 16 million voters ni President Duterte kung ang isyu ng ABS-CBN franchise ay buhayin sa susunod na taon.","operations: substitute, swap; errors: ligature"
"Ayon sa binata, Nakaka-pressure. Kasi blessing ito eh. Pero itong blessing na to na ipinagkaloob sa amin ng may halong responsibilidad. Hindi lang ito basta-basta.","Ayon sa binata, Nakaka-pressure. Kasi blessing ito eh. Pero itong blessing na to na ipinagkaloob sa amin na may halong responsibilidad. Hindi lang ito basta-basta.",operations: substitute; errors: ligature
"Ayon sa pa mga biktima, paglabas nila na sasakyan ay mayroong mga barya.","Ayon sa mga biktima, paglabas nila ng sasakyan ay mayroong mga barya.","operations: insert, substitute; errors: ligature"
"Sa report ay hindi lang ordinaryong mamimili ang dumagsa kundi marami ring retailers ang maagang sumugod sa Divisoria para makapamakyaw ng kanilang si mga ititinda, na di nawawala sa karamihang dumadalaw sa sementeryo o sa namayapang mahal sa buhay.","Sa report ay hindi lang ordinaryong mamimili ang dumagsa kundi marami ring retailers ang maagang sumugod sa Divisoria para makapamakyaw ng kanilang mga ititinda, na di nawawala sa karamihang dumadalaw sa sementeryo o sa namayapang mahal sa buhay.",operations: insert; errors: 
"Kahit kailangan ko rin, kong ayaw gumawa ng mali.","Kahit kailangan ko rin, ayaw kong gumawa ng mali.",operations: swap; errors: 
General Andre Dizon na sapat ang itatalagang mga uniformed at civilian clothes personnel ng magbabantay sa 61 simbahan sa Maynila para sa Simbang Gabi.,General Andre Dizon na sapat ang itatalagang mga uniformed at civilian clothes personnel na magbabantay sa 61 simbahan sa Maynila para sa Simbang Gabi.,operations: substitute; errors: ligature
Pinasalamatan Pangulong ni Marcos ang Kongreso dahil sa mabilis na pag-aksyon sa pambansang budget pati na ang mga opisyal at tauhan ng Department of Budget and Management ( DBM ) na siyang nagbalangkas at nagsuri bago ito isinumite sa mga mambabatas noong Agosto.,Pinasalamatan ni Pangulong Marcos ang Kongreso dahil sa mabilis na pag-aksyon sa pambansang budget pati na ang mga opisyal at tauhan ng Department of Budget and Management ( DBM ) na siyang nagbalangkas at nagsuri bago ito isinumite sa mga mambabatas noong Agosto.,operations: swap; errors: 
Hinagip rin ang isang poging singer.,Hinagip din niya ang isang poging singer.,"operations: substitute, delete; errors: enclitic"
"Anything is possible. Si Tali naman kasama namin sa taping sa ' Eat Bulaga, ' and is she very much interested, pero syempre hindi namin itutulak sa showbiz kung gusto lang niya mas importante pag-aaral, ayon kay VicFRJ, GMA Integrated News.","Anything is possible. Si Tali naman kasama namin sa taping sa ' Eat Bulaga, ' and she is very much interested, pero syempre hindi namin itutulak sa showbiz kung gusto lang niya mas importante ang pag-aaral, ayon kay VicFRJ, GMA Integrated News.","operations: swap, delete; errors: "
"Nabatid na nadiskubre ng BOC ang mga smuggled agricultural products na nagkakahalaga ng P101, 641, 350 sa 17 shipments sa Manila International Container ( Port MICP ) sa serye ng physical examinations na isinagawa noong Pebrero 27 hanggang 28, 2023.","Nabatid na nadiskubre ng BOC ang mga smuggled agricultural products na nagkakahalaga ng P101, 641, 350 sa 17 shipments sa Manila International Container Port ( MICP ) sa serye ng physical examinations na isinagawa noong Pebrero 27 hanggang 28, 2023.",operations: swap; errors: 
"Nang matiyak na napuruhanan ang mga biktima, mabilis na tumakas ang mga salarin patungo sa direksiyon ng.","Nang matiyak na napuruhanan ang mga biktima, mabilis na tumakas ang mga salarin patungo sa direksiyon ng Brgy.",operations: delete; errors: 
Ang laking bagay ako nalaos.,Ang laking bagay nong nalaos ako.,"operations: delete, swap; errors: "
Minsan din ay raw mga mga pagkakataong hindi niya alam na tinatawag pala siya.,Minsan din daw ay mga mga pagkakataong hindi niya alam na tinatawag pala siya.,"operations: swap, substitute; errors: enclitic"
